iteration,replay_size,examples_added,train_policy_loss,train_value_loss,train_entropy,self_play_reward_mean,self_play_points_mean,validation_reward_mean,validation_points_mean,validation_rank_mean
1,300,300,2.5198905229568482,0.4636674702167511,2.610966646671295,-0.04503819202072919,1517.6424145688711,-inf,,
2,600,300,2.6056946516036987,0.36171097504465205,2.615829505418476,0.34825141429901124,1612.8612544559714,0.15857940260320902,1646.9631534243244,3.875
3,900,300,2.5277947742363502,0.33133522729421483,2.520855938566142,0.024562514829449357,1528.4090007540947,-inf,,
4,1200,300,2.472149510132639,0.31151951888674184,2.485239515179082,0.149604307487607,1573.3664463433067,0.3402707166969776,1679.9015712795392,3.25
5,1500,300,2.4180577562210406,0.3167954356746471,2.418999768318014,0.10322336405515671,1544.0016144975932,-inf,,
6,1800,300,2.36885726870152,0.30757460141913934,2.384669774457028,0.0871231222525239,1559.047404426262,0.12243884755298495,1588.3127350224372,3.75
7,2100,300,2.349152061072263,0.2946281938841849,2.3600666775847925,0.18735561165958642,1608.0787826749197,-inf,,
8,2400,300,2.3348756567637126,0.3027316869298617,2.338419589996338,0.06803090590983629,1521.2251566407201,-0.1758279036730528,1581.551822854904,5.25
9,2700,300,2.3187879162676195,0.2943771092330708,2.327169660960927,-0.017672959342598916,1507.3764434809968,-inf,,
10,3000,300,2.3179279381924487,0.2987091125960046,2.327265339328888,0.20421671494841576,1581.34524097317,-0.10611830465495586,1591.4431392252613,4.875
11,3300,300,2.297214292562925,0.2968386145165333,2.3033816860272336,0.24936135709285737,1584.1454114669139,-inf,,
12,3600,300,2.301882874649183,0.29826703456650794,2.3122001970763755,-0.022511911019682883,1545.4709328933136,0.3693749587982893,1706.8117031582767,3.125
13,3900,300,2.2878129311272355,0.29642503610888465,2.298339178816217,0.12419877126812935,1522.7780095744886,-inf,,
14,4200,300,2.2760559622988557,0.29277834042229434,2.2846158368117884,0.24013414457440377,1622.0926298991067,0.09804596926551312,1619.9516255654557,4.0
15,4500,300,2.254737503985141,0.29438827868471756,2.262622026264245,0.36023829989135264,1665.8565587826238,-0.05884988885372877,1566.7532279808752,4.625
